1,AW00011000,JonYang,54,50 and above,vip,3,8249,8,8,2013-05-03,149,28,2749,294
2,AW00011001,EugeneHuang,49,40-49,vip,3,6384,11,10,2013-12-10,142,35,2128,182
3,AW00011002,RubenTorres,54,50 and above,vip,3,8114,4,4,2013-02-23,152,25,2704,324
4,AW00011003,ChristyZhu,52,50 and above,vip,3,8139,9,9,2013-05-10,149,29,2713,280
5,AW00011004,ElizabethJohnson,46,40-49,vip,3,8196,6,6,2013-05-01,149,28,2732,292
6,AW00011005,JulioRuiz,49,40-49,vip,3,8121,6,6,2013-05-02,149,29,2707,280
7,AW00011006,JanetAlvarez,49,40-49,vip,3,8119,5,5,2013-05-14,149,28,2706,289
8,AW00011007,MarcoMehta,56,50 and above,vip,3,8211,8,8,2013-03-19,151,26,2737,315
9,AW00011008,RobVerhoff,50,50 and above,vip,3,8106,7,7,2013-03-02,151,26,2702,311
10,AW00011009,ShannonCarlson,56,50 and above,vip,3,8091,5,5,2013-05-09,149,28,2697,288
11,AW00011010,JacquelynSuarez,56,50 and above,vip,3,8088,4,4,2013-05-23,149,28,2696,288
12,AW00011011,CurtisLu,56,50 and above,vip,3,8133,4,4,2013-03-19,151,27,2711,301
13,AW00011012,LaurenWalker,46,40-49,new,2,81,5,5,2013-10-15,144,7,40,11
14,AW00011013,IanJenkins,46,40-49,new,2,114,5,5,2014-01-21,141,9,57,12
15,AW00011014,SydneyBennett,52,50 and above,new,2,138,6,5,2013-04-30,150,1,69,138
16,AW00011015,ChloeYoung,41,40-49,new,1,2501,3,3,2013-01-18,153,0,2501,2501
17,AW00011016,WyattHill,41,40-49,new,1,2332,3,3,2013-02-09,152,0,2332,2332
18,AW00011017,ShannonWang,76,50 and above,vip,3,6434,4,4,2013-10-14,144,33,2144,194
19,AW00011018,ClarenceRai,70,50 and above,vip,3,6533,7,7,2013-10-24,144,33,2177,197
20,AW00011019,LukeLal,42,40-49,new,17,880,33,20,2014-01-12,141,11,51,80
21,AW00011020,JordanKing,41,40-49,new,1,2317,2,2,2012-12-29,154,0,2317,2317
22,AW00011021,DestinyWilson,41,40-49,new,1,2372,3,3,2013-01-23,153,0,2372,2372
23,AW00011022,EthanZhang,41,40-49,new,1,2322,2,2,2013-01-20,153,0,2322,2322
24,AW00011023,SethEdwards,41,40-49,new,2,122,6,6,2014-01-14,141,11,61,11
25,AW00011024,RussellXie,41,40-49,new,2,56,6,5,2013-07-26,147,1,28,56
26,AW00011025,AlejandroBeck,74,50 and above,vip,3,6577,6,6,2013-10-25,144,33,2192,199
27,AW00011026,HaroldSai,74,50 and above,vip,3,6575,7,7,2013-10-15,144,33,2191,199
28,AW00011027,JessieZhao,73,50 and above,vip,3,6591,9,9,2013-10-24,144,33,2197,199
29,AW00011028,JillJimenez,74,50 and above,vip,3,6474,5,5,2013-10-07,144,33,2158,196
30,AW00011029,JimmyMoreno,73,50 and above,vip,3,6565,7,7,2013-11-11,143,34,2188,193
31,AW00011030,BethanyYuan,67,50 and above,vip,3,6471,4,4,2013-11-09,143,33,2157,196
32,AW00011031,TheresaRamos,72,50 and above,vip,3,6478,6,6,2013-11-13,143,33,2159,196
33,AW00011032,DeniseStone,73,50 and above,vip,3,6525,10,10,2013-11-08,143,33,2175,197
34,AW00011033,JaimeNath,67,50 and above,vip,3,6495,7,7,2013-11-05,143,33,2165,196
35,AW00011034,EbonyGonzalez,73,50 and above,vip,3,6491,4,4,2013-11-10,143,33,2163,196
36,AW00011035,WendyDominguez,72,50 and above,vip,3,6451,5,5,2013-11-15,143,33,2150,195
37,AW00011036,JenniferRussell,41,40-49,new,1,2355,2,2,2013-01-22,153,0,2355,2355
38,AW00011037,ChloeGarcia,42,40-49,new,1,2374,7,7,2013-01-20,153,0,2374,2374
39,AW00011038,DianaHernandez,72,50 and above,vip,3,6437,3,3,2013-11-12,143,33,2145,195
40,AW00011039,MarcMartin,71,50 and above,vip,3,6636,9,8,2013-11-11,143,33,2212,201
41,AW00011040,JesseMurphy,42,40-49,new,1,2351,3,3,2013-04-03,150,0,2351,2351
42,AW00011041,AmandaCarter,42,40-49,new,1,2381,3,3,2013-01-14,153,0,2381,2381
43,AW00011042,MeganSanchez,43,40-49,new,2,3112,3,3,2013-10-17,144,9,1556,345
44,AW00011043,NathanSimmons,44,40-49,new,2,48,3,3,2013-08-18,146,3,24,16
45,AW00011044,AdamFlores,71,50 and above,vip,3,6515,7,7,2013-11-08,143,33,2171,197
46,AW00011045,LeonardNara,70,50 and above,new,2,115,4,4,2013-10-29,144,6,57,19
47,AW00011046,ChristineYuan,70,50 and above,vip,3,6616,6,6,2013-11-12,143,33,2205,200
48,AW00011047,JaclynLu,70,50 and above,vip,3,6582,4,4,2013-11-19,143,33,2194,199
49,AW00011048,JeremyPowell,69,50 and above,vip,3,6498,8,8,2013-12-25,142,34,2166,191
50,AW00011049,CarolRai,39,50 and above,new,2,81,5,5,2013-10-29,144,7,40,11
51,AW00011050,AlanZheng,68,50 and above,vip,3,5007,6,6,2013-11-19,143,33,1669,151
52,AW00011051,DanielJohnson,68,50 and above,new,2,124,5,5,2014-01-01,141,1,62,124
53,AW00011052,HeidiLopez,68,50 and above,vip,3,8131,7,7,2013-05-27,149,27,2710,301
54,AW00011053,AnaPrice,39,50 and above,new,1,2330,2,2,2013-01-17,153,0,2330,2330
55,AW00011054,DeannaMunoz,68,50 and above,vip,3,8223,6,6,2013-05-30,149,27,2741,304
56,AW00011055,GilbertRaje,68,50 and above,vip,3,8168,8,8,2013-06-07,148,29,2722,281
57,AW00011056,MicheleNath,67,50 and above,vip,3,8207,8,8,2013-05-31,149,27,2735,303
58,AW00011057,CarlAndersen,55,50 and above,vip,3,8088,4,4,2013-05-21,149,27,2696,299
59,AW00011058,MarcDiaz,60,50 and above,vip,3,8248,6,6,2013-06-04,148,27,2749,305
60,AW00011059,AshleeAndersen,66,50 and above,new,3,117,7,6,2013-03-16,151,1,39,117
61,AW00011060,JonZhou,66,50 and above,vip,3,8153,6,6,2013-06-25,148,27,2717,301
62,AW00011061,ToddGao,49,40-49,vip,3,8129,6,6,2013-06-14,148,27,2709,301
63,AW00011062,NoahPowell,44,40-49,new,1,2352,3,3,2013-01-07,153,0,2352,2352
64,AW00011063,AngelaMurphy,45,40-49,new,1,2373,5,5,2013-01-12,153,0,2373,2373
65,AW00011064,ChaseReed,44,40-49,new,1,2305,2,2,2013-01-25,153,0,2305,2305
66,AW00011065,JessicaHenderson,46,40-49,new,2,202,5,4,2014-01-10,141,11,101,18
67,AW00011066,GraceButler,46,40-49,new,2,81,5,5,2013-09-19,145,4,40,20
68,AW00011067,CalebCarter,43,40-49,new,2,105,6,6,2014-01-12,141,5,52,21
69,AW00011068,TiffanyLiang,59,50 and above,new,3,113,9,8,2013-10-08,144,6,37,18
70,AW00011069,CarolynNavarro,59,50 and above,vip,3,8104,3,3,2013-06-04,148,26,2701,311
71,AW00011070,WillieRaji,65,50 and above,vip,3,8165,10,9,2013-06-26,148,26,2721,314
72,AW00011071,LindaSerrano,65,50 and above,new,3,110,7,6,2013-12-01,142,9,36,12
73,AW00011072,CaseyLuo,65,50 and above,vip,3,8194,7,7,2013-06-15,148,27,2731,303
74,AW00011073,AmyYe,63,50 and above,new,3,192,10,9,2013-08-21,146,5,64,38
75,AW00011074,LeviArun,63,50 and above,new,3,94,7,7,2013-05-27,149,2,31,47
76,AW00011075,FeliciaJimenez,62,50 and above,vip,3,8068,5,5,2013-06-24,148,26,2689,310
77,AW00011076,BlakeAnderson,62,50 and above,vip,3,8159,4,4,2013-06-21,148,26,2719,313
78,AW00011077,LeahYe,62,50 and above,vip,3,8169,5,5,2013-06-12,148,26,2723,314
79,AW00011078,GinaMartin,40,40-49,new,17,912,31,23,2014-01-28,141,11,53,82
80,AW00011079,DonaldGonzalez,55,50 and above,new,3,58,5,5,2014-01-01,141,10,19,5
81,AW00011080,DamienChander,60,50 and above,vip,3,8204,7,7,2013-06-23,148,26,2734,315
82,AW00011081,SavannahBaker,53,50 and above,new,2,104,5,5,2013-04-13,150,2,52,52
83,AW00011082,AngelaButler,53,50 and above,new,2,3110,6,6,2013-11-06,143,10,1555,311
84,AW00011083,AlyssaCox,48,40-49,new,2,3137,5,5,2013-11-08,143,10,1568,313
85,AW00011084,LucasPhillips,62,50 and above,new,2,3078,5,5,2013-11-21,143,10,1539,307
86,AW00011085,EmilyJohnson,62,50 and above,new,2,129,5,5,2014-01-08,141,1,64,129
87,AW00011086,RyanBrown,62,50 and above,new,2,153,6,6,2013-12-21,142,5,76,30
88,AW00011087,TamaraLiang,62,50 and above,new,2,200,4,4,2013-08-09,146,6,100,33
89,AW00011088,HunterDavis,62,50 and above,new,2,3176,7,7,2013-11-12,143,10,1588,317
90,AW00011089,AbigailPrice,63,50 and above,new,2,3188,7,7,2013-11-18,143,11,1594,289
91,AW00011090,TrevorBryant,57,50 and above,vip,3,6703,6,6,2013-11-21,143,27,2234,248
92,AW00011091,DaltonPerez,63,50 and above,regular,28,1186,59,25,2014-01-08,141,12,42,98
93,AW00011092,CherylDiaz,53,50 and above,vip,3,8110,5,5,2013-06-21,148,26,2703,311
94,AW00011093,AimeeHe,47,40-49,vip,3,8180,7,7,2013-06-08,148,26,2726,314
95,AW00011094,CedricMa,58,50 and above,new,3,236,8,8,2014-01-11,141,9,78,26
96,AW00011095,ChadKumar,57,50 and above,vip,3,8158,7,7,2013-06-25,148,26,2719,313
97,AW00011096,Andr├®sAnand,57,50 and above,vip,3,8063,4,4,2013-07-30,147,27,2687,298
98,AW00011097,EdwinNara,53,50 and above,vip,3,8099,5,5,2013-07-24,147,27,2699,299
